qid,model,prompt,resp
24,ground_truth,"能幫我把以下文章給出摘要嗎？
（由於）較少有錢的中國血拚族訪港，以及遊客轉而湧向流行區的IG網紅景點而非花大錢買昂貴的名牌貨，香港奢侈品零售業者正為此做調適。
武肺疫情爆發前，儘管對集合眾多品牌的百貨公司以及超奢名牌的需求降低已成全球趨勢，香港這個中國特區卻逆勢而上，（其原因）大抵上在於香港對花錢不手軟的中客頗具吸引力。
根據業界專家，但像海南島等與香港爭奪購物樞紐寶座的地區的崛起、消費者偏好改變，以及網上購物的興起，對香港奢侈品的需求已從根本上改變，並且開始重塑香港的遊客經濟。",
25,ground_truth,"請給出摘要：
西班牙廉價航空公司伏林航空表示，已開始在其航班上提供寵物零食，為機上購物清單的一部分，並補充道，此舉是歐洲首創。
允許乘客攜帶重量最高8公斤寵物旅行的伏林航空，與比利時寵物食品製造商Edgard & Cooper共同想出這個點子，菜單將包含雞肉條和牛肉塊，售價分別是3.50歐元（約122台幣）和5.50歐元（約192台幣）。
伏林航空表示，他們的客群中有很大一部分攜帶寵物旅行，有這類服務的需求。該公司補充道：「我們正在努力實現多元化。」",
26,ground_truth,"能幫我把以下文章給出摘要嗎？
任何踏足義大利的人都知道，有些不成文規則你不得不遵守—而最重要的不成文規定皆與食物有關。
上午11點過後喝卡布奇諾？只有遊客才醬。番茄肉醬義大利麵？多可怕的想法。披薩上放鳳梨？這是邪門歪道—至少迄今是邪門歪道。
但2024年可能正是鳳梨披薩席捲義大利之年。拜那不勒斯的知名披薩師傅索爾畢洛之賜，他已將可怕的「鳳梨」，加入他在世界披薩之都（那不勒斯）最知名的披薩街法庭街（上的披薩店）的菜單。
第3代披薩師傅索爾畢洛告訴美國有線電視新聞網，他創造鳳梨披薩是為了「與食物偏見對戰」。",
27,ground_truth,"我需要一個摘要：
海洋生物學家表示，一種瀕臨絕種的巨型蛤蜊回來了，牠們在克羅埃西亞附近海域的數量大幅增加。
2016年左右，這種被稱為大江珧（音同姚）蛤的蛤蜊開始滅絕，因為一種致命的病原體在地中海部分地區傳播。整個地中海地區的蛤蜊數量開始急劇下降，克羅埃西亞科學家僅知道有10隻存活在亞得里亞海一角。
在2022年，一名潛水夫在伊斯垂亞半島北部海岸附近發現約20隻大江珧蛤。
2023年，生物學家設法捕捉到約100隻幼年樣本，並將牠們帶到水族館。這表示牠們仍在自我繁殖。
這種蛤蜊的殼直徑可達120公分，可過濾海水，並促進其他有機體繁衍。",
28,ground_truth,"能幫我把以下文章給出摘要嗎？
舊金山一家科學博物館在僅僅1年多內，就孵育出多達10隻非洲企鵝幼雛。
這群企鵝從2022年11月起陸續孵化出來，並且持續到今年1月結束，終結了一段為期4年都無任何新幼雛誕生的時期，加州科學博物館週三宣布。
這所科博館在聲明中說，野生非洲企鵝數量已經減少到9000對具繁殖能力的雌雄企鵝。
過度捕撈、棲息地惡化以及漏油等威脅，減少了這種迷人的黑白色鳥類族群，這間科博館的史坦哈特水族館動物照護與福利部門主任布蘭達．梅爾頓說。
「我們迎接的每一隻幼雛，都強化了在人類照顧下物種遺傳基因和整體族群數量」，她說。",
29,ground_truth,"請將這段中文給出摘要：
社群媒體上發布的影片顯示，當過往的卡車播放有節奏的短曲時，人們在馬路和路邊跳舞，柬埔寨總理韓馬內下令禁止使用音樂喇叭。
韓馬內呼籲公共工程和運輸部和全國各地的警察，立即對把正常喇叭換成會播放曲子喇叭的任何車輛採取行動，拆掉這些喇叭，恢復標準的喇叭樣式。
韓馬內週一在自己的臉書頁面評論說，最近的社群媒體發文顯示，有些人，尤其是青少年和兒童，在路邊伴隨著卡車喇叭的音樂聲跳舞，做出不當行為。
韓馬內說，這類舞蹈影響公共秩序，造成交通危害，進而危及生命和肢體，尤其是對舞者本身。而對柬埔寨人來說，今後街上將不再有人跳舞。",
30,ground_truth,"我需要一個中文的摘要：
微軟週五表示，他們仍在努力驅逐那些在11月入侵公司高級主管電郵帳號戶的俄羅斯政府精英駭客，這些駭客據稱一直試圖利用竊取的存取數據，入侵客戶網路。
這家軟體巨擘在部落格和監管文件中表示，來自俄羅斯對外情報機構「對外情報局」（SVR）的駭客，利用1月中旬披露的入侵所獲得的數據，危及一些原始碼儲存庫和內部系統。
微軟週五表示，駭客從公司與非特定客戶之間的電郵通訊中，竊取「秘密」——例如密碼、憑證和驗證金鑰等加密密碼，該公司正與這些客戶聯繫，「以協助採取緩解措施」。",
31,ground_truth,"能幫我把以下文章給出摘要嗎？
由一群多語者參與的一項新研究，使用一種名為功能性磁振造影的技術，在參與者聆聽以各種語言朗讀的文章段落時監測其腦部活動。
一項引人好奇的例外情況是，比起較不熟稔或不熟稔的語言，這些具備5至54種語言能力的多語者在聽聞最精通的語言種類時，大腦皮質涉及語言處理網路的區域就會更加活躍。
但有另一項引起研究員注意的例外。許多參與者在聽到自己的母語時，引起的腦部反應比聽到其它知曉的語言時更少，平均減少約25％。部分多語者聽到母語時僅觸發大腦語言網路的一部分，而非全部。",
32,ground_truth,"幫我找出摘要：
中國駐首爾大使館警告其公民，在南韓做整形手術的危險。
數據提供網站Statista指出，南韓是全球最熱門醫療旅遊目的地之一，過去10年吸引外國患者，其中大部分來自中國和美國。
「近年許多外國人到南韓做整形手術，有些人發生醫療糾紛、手術失敗，甚至死亡事件」，中國大使館在一份公告中說。
「如果（你的）術後容貌發生較大變化，或者你還在術後恢復期，離開該國時應該攜帶手術證明」，大使館還說道。
聲明說，這類預防措施將有助於避免對辦理登機，或者後續出入境手續的影響。",
33,ground_truth,"能幫我把以下文章給出摘要嗎？
第一種可以在美國商店購買的非處方避孕藥，將於本月晚些時候上市，使美國婦女和青少年能夠像購買阿斯匹靈一樣，輕鬆地獲得避孕藥物。
製造商「百利高」週一表示，已開始向主要零售商和藥房運送這款名為Opill的藥物。根據公司建議的零售價格，1個月的用量將花費約20美元，3個月的用量將花費約50美元。該藥物也將在線上出售。
Opill是一種較舊的避孕藥類別，有時被稱為小劑量避孕藥，它只含有一種合成荷爾蒙黃體酮，副作用通常比流行的複合雌激素和黃體酮避孕藥更小。",
34,ground_truth,"請將這段中文給出摘要：
位於東京的一家電信企業男員工在國際婦女節前體驗了模擬經痛，讓他們能對女同事更富有同情心。
26歲員工柴崎雅也在使用由奈良女子大學與新創公司Osaka Heat Cool聯合研發的器材後表示，「我動不了，疼痛的程度讓我無法動彈」。
他說，「現在我明白女性每個月都得在工作的同時對抗這種疼痛。她們要如何辦到著實讓人感到驚嘆。我確實尊敬她們」。
日本法律要求企業給予女性生理假。然而，卻沒有要求休假時給付薪資。民調顯示約半數女性職員從未請過生理假。",
35,ground_truth,"我需要一個中文的摘要：
阿根廷正準備提供較大面額披索紙幣，以圖簡化日常交易；有些民眾得背著塞了現金的背包，來進行這些日常交易。
中央銀行說該署已經批准印製面額1萬披索和2萬披索的紙鈔，會在6月發行流通。
目前流通的最大面額紙鈔是2000披索，但就連2000面額的都很少見，很受歡迎。
較大面額紙鈔將有助於減緩物價上漲造成的一些問題，日前公佈的官方數據顯示，12月年通膨率達到211.4％。",
36,ground_truth,"請給出摘要：
根據專家，一波盆景失竊潮席捲日本各地，顯然與轉售利潤高的海外盆栽熱潮有關。
在許多情況下，小偷會在深夜偷走昂貴盆景植物。
60歲的今井光典在（日本）?木縣鹿沼市經營盆栽園「和樂美園」，他在（2023年）12月12日早上發現架上許多盆景樹不翼而飛後，（震驚到）說不出話來。
「我震驚到腦子一片空白，」他說。",
37,ground_truth,"幫我找出摘要：
馬斯克對其2015年協助成立的人工智慧（AI）公司OpenAI提出訴訟，指控該公司領導高層「背叛」其創立使命。
這位在2018年離開OpenAI的大亨，在提交給舊金山法院的文件中指稱，該公司意圖永遠做為一家非營利實體。
但他說，近期董事會的變動意味OpenAI現在實際上是軟體巨頭微軟的一家子公司，他宣稱這違反合約。
馬斯克已數度指控微軟掌控OpenAI，這兩家公司否認該宣稱。美國與歐洲的反壟斷監管機關也正調查這兩家公司之間的關係。
OpenAI在2022年底推出可以生成詩句、論文，甚至通過考試的聊天機器人ChatGPT，而引發人們的興趣。",
38,ground_truth,"我需要一個中文的摘要：
由卡爾．馬克斯在1873年致贈給查爾斯．達爾文的一本稀有書籍，或許從未被這位收禮人翻閱過。如今在經過保存工作後送返這名英國自然主義者的家中公開展覽。
共產主義創立者送給進化論之父的「資本論」，是馬克斯對資本主義的批判分析之作。他在首頁親筆寫下「由真誠的仰慕者卡爾．馬克斯所作」。
這部巨著在由劍橋大學圖書館進行五年的專業保存工作，避免脆弱的文本狀態進一步惡化後送回達爾文的故居，他在此潛心建立了以天擇形塑的革命性進化理論。
達爾文給馬克斯的回覆寫道，希望透過自己能更好理解「資本論」的主題，來對得起獲贈的榮幸。",
39,ground_truth,"我需要一個中文的摘要：
現在趕快讀——否則你將得再等4年。挖苦人的法國《工兵蠟燭報》只在2月29日出版。
這是一份閏年限定的出版物，充滿了令人尷尬的雙關語及對過去4年事件的評論。
2024年版包含一篇暗示法國多虧人工智慧而不再需要學校的文章。另一篇提議在巴黎奧運期間拆除艾菲爾鐵塔以降低安全風險——並讓宜家家居製作重建指南。
一些朋友1980年創辦這份報紙當作一場玩笑，以2月29日出生的一個漫畫人物命名。上一版——2020年，當時全球正因武漢肺炎限制行動——賣了12萬份。
當世界失控，它4年1次的社論寫道，「有時你得一笑置之。」",
40,ground_truth,"能幫我把以下文章給出摘要嗎？
活潑大狗「凱恩」正在尋找一個家，但牠最近大多待在（動物收容所的）辦公室。
由於生活成本持續上漲，美國各地的動物收容所已「寵」滿為患，所以這隻7歲大的灰白色狗「凱恩」在等待被領養期間，一直住在（美國紐約州梅南茲的）莫霍克哈德遜人道協會的工作人員的辦公室。
進入收容所的動物數量一度因武漢肺炎疫情大流行而下降，之後在2021年開始攀升，但寵物被領養的速度並未跟上寵物大量湧入收容所的步伐－－特別是像凱恩這樣的大狗－－對許多收容所造成日益嚴重的收容數量的問題。
",
41,ground_truth,"我需要一個摘要：
在日本中部一座神社舉行的所謂「裸祭」，身穿紫色長袍、興奮地高喊口號的女性們，扛起當作祭品的大竹子，這是首次有女性參與這場1250年歷史的活動。
7組女性團體參加這場據稱可以除厄及祈福的儀式。儘管被稱為「裸祭」，但參加者並未赤身裸體。
許多女性穿著日本慶典活動上常穿的「法被」（長度覆蓋臀部的罩袍）和短褲，而男性只穿著類似於相撲選手所穿的纏腰布。
參加者之一、59歲公務員立花惠美（音譯）表示：「我聽說女性可以參加，所以我絕對想參加，為這個小鎮和節慶帶來活力。」",
42,ground_truth,"能幫我把以下文章給出摘要嗎？
方斯華‧貝登古—麥爾斯成為第一個累積1000億美元財富的女性，對這名女繼承人及法國愈加擴張的流行與美妝產業來說，是又一個里程碑。
根據「彭博億萬富翁指數」，她的財產週四躍升到1001億美元，在世界上最有錢人當中排名第12。
貝登古—麥爾斯的財富仍然顯著少於法國同胞、奢侈品供應商酩悅軒尼詩—路易威登集團創辦人貝爾納‧阿爾諾，他以1790億美元財富，在全球排名第2。
法國奢侈品零售業日益居主導地位，已經造就其他數個超級富豪家族，包括「愛馬仕國際」背後的家族，以及擁有「香奈兒」品牌的韋特海默兄弟。",
43,ground_truth,"請給出摘要：
首位接受Neuralink腦晶片植入的人類病患似已完全康復，並能夠用思想控制電腦滑鼠，該新創公司創辦人馬斯克週一晚間表示。
「進展良好，病患似乎已完全康復，我們並未察覺到任何不良影響。病患能夠僅憑思考就在螢幕上移動滑鼠」，馬斯克在社群媒體平台X的「空間」活動中說。
馬斯克表示，Neuralink現在正在嘗試讓病患儘可能多地點擊滑鼠按鈕。
該公司在去年9月獲得人體試驗招募許可後，上個月成功地為其首位人類病患植入一顆晶片。
Neuralink表示，這項研究使用機器人透過手術，將腦機介面植入物放置在大腦中控制移動意圖的區域，並補充說，最初的目標是讓人們能?用自己的思想控制電腦游標或鍵盤。",
44,ground_truth,"幫我找出摘要：
由於日本出生率急遽下降的緣故，一項兒童傳統儀式正在寵物主人之間蔚為流行，狗狗和貓咪受到愈來愈多的關注。
青木夏希（譯音）帶著她的兩隻吉娃娃，搭飛機從日本西部的廣島飛往東京，好讓她的毛小孩接受特別的祝福。
位於東京西南方約35公里處、歷史可追溯至西元6世紀的座間神社，在2012年為寵物建立一個專門的祈福?場所。現在，該神社會舉辦七五三儀式，讓寵物的主人們可以為寵物祈禱牠們的健康和幸福。
這個儀式傳統上是在11月中旬為年滿3歲、5歲、7歲的孩子慶祝。父母會替男孩和女孩穿上和服，並帶他們到神道教聖地參加儀式。",
45,ground_truth,"幫我找出摘要：
第一場針對阿根廷總統哈維爾‧米雷伊政府的示威活動主辦者，將得掏出數萬美元，負擔為這場示威部署安全部隊的費用，政府發言人週五說。
數千人參加這場遊行反對米雷伊的撙節措施，並且紀念2001年該國經濟崩潰後引發導致人命喪失的示威。
政府發言人曼紐爾‧阿多尼說，大幅部署警力、武裝員警和鎮暴部隊，耗費6000萬披索。
「這筆帳單將送到這場社會運動（主辦者）」，他們將「負責承擔這筆費用，不應該落在公民身上」。",
46,ground_truth,"我需要一個中文的摘要：
全球近半數遷徙物種正減少，根據聯合國一份新報告說。
許多鳴禽、海龜、鯨魚、鯊魚與其他遷徙動物隨著季節變化遷移至不同環境，受到棲地流失、非法狩獵、捕撈、污染與氣候變遷的威脅。
報告發現，全球約44％的遷徙性物種數量正在減少。在聯合國監測的近1200個物種中，超過5分之1面臨滅絕威脅。
「這些物種在全球遷移，牠們為覓食、繁殖遷移，沿途也需要中途停留的據點」，報告主要作者凱莉‧麥爾許說。旅程中任何時間點的棲地流失或其他威脅可能導致族群數量萎縮。",
